R_ID,Resource,Name,Existing_Cap_MW,num_units,Cap_size,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Fuel,Heat_rate_MMBTU_per_MWh
1,CC,Astoria Energy 2 - CC3,330.00,1.00,330.00,3.00,0.00,NG,6.45
2,CC,Astoria Energy 2 - CC4,330.00,1.00,330.00,3.00,0.00,NG,6.45
3,CC,Astoria East Energy - CC1,320.00,1.00,320.00,3.00,0.00,NG,6.45
4,CC,Astoria East Energy - CC2,320.00,1.00,320.00,3.00,0.00,NG,6.45
5,ST,Astoria 2,180.00,1.00,180.00,3.00,0.00,NG,6.45
6,ST,Astoria 3,376.00,1.00,376.00,3.00,0.00,FO6,12.60
7,ST,Astoria 5,387.00,1.00,387.00,3.00,0.00,FO6,12.60
8,GT,Astoria GT 01,16.00,1.00,16.00,7.00,0.00,NG,9.82
9,GT,Gowanus 1-1,20.00,1.00,20.00,7.00,0.00,FO2,9.82
10,GT,Gowanus 1-2,20.00,1.00,20.00,7.00,0.00,FO2,9.82
11,GT,Gowanus 1-3,20.00,1.00,20.00,7.00,0.00,FO2,9.82
12,GT,Gowanus 1-4,20.00,1.00,20.00,7.00,0.00,FO2,9.82
13,GT,Gowanus 1-5,20.00,1.00,20.00,7.00,0.00,FO2,9.82
14,GT,Gowanus 1-6,20.00,1.00,20.00,7.00,0.00,FO2,9.82
15,GT,Gowanus 1-7,20.00,1.00,20.00,7.00,0.00,FO2,9.82
16,GT,Gowanus 1-8,20.00,1.00,20.00,7.00,0.00,FO2,9.82
17,GT,Gowanus 2-1,20.00,1.00,20.00,7.00,0.00,FO2,9.82
18,GT,Gowanus 2-2,20.00,1.00,20.00,7.00,0.00,FO2,9.82
19,GT,Gowanus 2-3,20.00,1.00,20.00,7.00,0.00,FO2,9.82
20,GT,Gowanus 2-4,20.00,1.00,20.00,7.00,0.00,FO2,9.82
21,GT,Gowanus 2-5,20.00,1.00,20.00,7.00,0.00,FO2,9.82
22,GT,Gowanus 2-6,20.00,1.00,20.00,7.00,0.00,FO2,9.82
23,GT,Gowanus 2-7,20.00,1.00,20.00,7.00,0.00,FO2,9.82
24,GT,Gowanus 2-8,20.00,1.00,20.00,7.00,0.00,FO2,9.82
25,GT,Gowanus 3-1,20.00,1.00,20.00,7.00,0.00,FO2,9.82
26,GT,Gowanus 3-2,20.00,1.00,20.00,7.00,0.00,FO2,9.82
27,GT,Gowanus 3-3,20.00,1.00,20.00,7.00,0.00,FO2,9.82
28,GT,Gowanus 3-4,20.00,1.00,20.00,7.00,0.00,FO2,9.82
29,GT,Gowanus 3-5,20.00,1.00,20.00,7.00,0.00,FO2,9.82
30,GT,Gowanus 3-6,20.00,1.00,20.00,7.00,0.00,FO2,9.82
31,GT,Gowanus 3-7,20.00,1.00,20.00,7.00,0.00,FO2,9.82
32,GT,Gowanus 3-8,20.00,1.00,20.00,7.00,0.00,FO2,9.82
33,GT,Gowanus 4-1,20.00,1.00,20.00,7.00,0.00,FO2,9.82
34,GT,Gowanus 4-2,20.00,1.00,20.00,7.00,0.00,FO2,9.82
