Hour,PV,WT,OWT
1,0,0.111,0.074
2,0,0.097,0.064
3,0,0.094,0.061
4,0,0.099,0.065
5,0,0.078,0.049
6,0,0.046,0.027
7,0,0.046,0.027
8,0.086,0.067,0.042
9,0.284,0.063,0.039
10,0.47,0.039,0.022
11,0.549,0.03,0.017
12,0.51,0.026,0.014
13,0.515,0.033,0.018
14,0.483,0.028,0.015
15,0.353,0.045,0.026
16,0.171,0.076,0.048
17,0.065,0.104,0.069
18,0.001,0.154,0.109
19,0,0.24,0.182
20,0,0.295,0.23
21,0,0.337,0.269
22,0,0.352,0.283
23,0,0.392,0.32
24,0,0.42,0.346
25,0,0.391,0.319
26,0,0.434,0.36
27,0,0.485,0.409
28,0,0.483,0.407
29,0,0.474,0.399
30,0,0.471,0.395
31,0.001,0.448,0.373
32,0.091,0.434,0.359
33,0.277,0.401,0.328
34,0.412,0.286,0.222
35,0.477,0.206,0.153
36,0.582,0.154,0.109
37,0.659,0.098,0.065
38,0.534,0.079,0.05
39,0.363,0.07,0.043
40,0.272,0.053,0.032
41,0.11,0.06,0.036
42,0.002,0.167,0.12
43,0,0.263,0.202
44,0,0.282,0.219
45,0,0.33,0.262
46,0,0.315,0.249
47,0,0.31,0.244
48,0,0.283,0.22
49,0,0.263,0.202
50,0,0.252,0.193
51,0,0.277,0.214
52,0,0.287,0.223
53,0,0.26,0.199
54,0,0.227,0.171
55,0.008,0.169,0.121
56,0.158,0.123,0.084
57,0.271,0.135,0.094
58,0.399,0.09,0.058
59,0.503,0.022,0.011
60,0.763,0,0
61,0.692,0,0
62,0.448,0.007,0.004
63,0.166,0.051,0.03
64,0.075,0.085,0.054
65,0.04,0.117,0.079
66,0,0.066,0.041
67,0,0.045,0.026
68,0,0.084,0.054
69,0,0.114,0.077
70,0,0.152,0.108
71,0,0.223,0.167
72,0,0.278,0.215
73,0,0.404,0.331
74,0,0.49,0.414
75,0,0.566,0.49
76,0,0.63,0.556
77,0,0.63,0.556
78,0,0.605,0.529
79,0.013,0.589,0.513
80,0.203,0.556,0.48
81,0.46,0.624,0.55
82,0.684,0.673,0.601
83,0.816,0.644,0.571
84,0.872,0.618,0.543
85,0.85,0.618,0.543
86,0.684,0.62,0.545
87,0.453,0.61,0.535
88,0.229,0.596,0.521
89,0.07,0.578,0.502
90,0.003,0.55,0.474
91,0,0.525,0.449
92,0,0.488,0.413
93,0,0.459,0.384
94,0,0.438,0.363
95,0,0.422,0.349
96,0,0.41,0.337
97,0,0.433,0.359
98,0,0.457,0.382
99,0,0.411,0.338
100,0,0.279,0.216
101,0,0.167,0.119
102,0,0.095,0.062
103,0.029,0.053,0.032
104,0.287,0.05,0.03
105,0.534,0.046,0.027
106,0.73,0.051,0.03
107,0.834,0.093,0.06
108,0.854,0.15,0.106
109,0.786,0.22,0.164
110,0.625,0.271,0.209
111,0.461,0.312,0.246
112,0.268,0.348,0.279
113,0.079,0.37,0.299
114,0.004,0.434,0.36
115,0,0.484,0.408
116,0,0.484,0.408
117,0,0.467,0.392
118,0,0.473,0.398
119,0,0.622,0.548
120,0,0.714,0.646
121,0,0.712,0.644
122,0,0.682,0.611
123,0,0.647,0.574
124,0,0.593,0.518
125,0,0.555,0.479
126,0,0.525,0.449
127,0.026,0.517,0.441
128,0.232,0.61,0.535
129,0.432,0.634,0.56
130,0.533,0.641,0.567
131,0.61,0.655,0.582
132,0.609,0.679,0.607
133,0.634,0.698,0.629
134,0.579,0.714,0.646
135,0.404,0.705,0.636
136,0.233,0.635,0.562
137,0.117,0.532,0.456
138,0.008,0.491,0.415
139,0,0.498,0.422
140,0,0.503,0.427
141,0,0.523,0.446
142,0,0.512,0.436
143,0,0.446,0.372
144,0,0.374,0.303
145,0,0.319,0.252
146,0,0.278,0.216
147,0,0.241,0.183
148,0,0.187,0.136
149,0,0.151,0.107
150,0,0.124,0.085
151,0.017,0.12,0.082
152,0.195,0.148,0.104
153,0.434,0.258,0.198
154,0.567,0.374,0.303
155,0.604,0.421,0.347
156,0.477,0.426,0.352
157,0.436,0.425,0.351
158,0.346,0.428,0.354
159,0.341,0.44,0.365
160,0.2,0.41,0.337
161,0.105,0.355,0.285
162,0.006,0.391,0.319
163,0,0.412,0.339
164,0,0.347,0.278
165,0,0.278,0.215
166,0,0.22,0.165
167,0,0.179,0.13
168,0,0.153,0.108
169,0,0.115,0.077
170,0,0.072,0.045
171,0,0.035,0.019
172,0,0.012,0.006
173,0,0.005,0.002
174,0,0.002,0.001
175,0.025,0.001,0
176,0.238,0,0
177,0.512,0,0
178,0.688,0,0
179,0.772,0.003,0.001
180,0.805,0.014,0.007
181,0.768,0.035,0.019
182,0.639,0.059,0.035
183,0.459,0.086,0.056
184,0.29,0.111,0.075
185,0.114,0.099,0.066
186,0.007,0.154,0.109
187,0,0.208,0.154
188,0,0.195,0.143
189,0,0.133,0.092
190,0,0.084,0.054
191,0,0.06,0.036
192,0,0.054,0.032
193,0,0.053,0.032
194,0,0.062,0.038
195,0,0.104,0.069
196,0,0.157,0.111
197,0,0.175,0.126
198,0,0.168,0.121
199,0.031,0.162,0.116
200,0.273,0.083,0.053
201,0.527,0.026,0.014
202,0.708,0.039,0.022
203,0.83,0.023,0.012
204,0.879,0.005,0.003
205,0.87,0.001,0
206,0.804,0.001,0.001
207,0.678,0.001,0.001
208,0.487,0.001,0
209,0.241,0.015,0.007
210,0.023,0.056,0.034
211,0,0.114,0.077
212,0,0.162,0.116
213,0,0.192,0.14
214,0,0.305,0.24
215,0,0.301,0.236
216,0,0.405,0.332
217,0,0.493,0.417
218,0,0.423,0.35
219,0,0.66,0.588
220,0,0.704,0.635
221,0,0.707,0.638
222,0,0.791,0.732
223,0.001,0.857,0.81
224,0.018,0.893,0.854
225,0.051,0.849,0.8
226,0.072,0.786,0.727
227,0.07,0.661,0.589
228,0.089,0.417,0.343
229,0.144,0.124,0.085
230,0.211,0.024,0.013
231,0.121,0.006,0.003
232,0.047,0.003,0.001
233,0.013,0.013,0.006
234,0,0.041,0.024
235,0,0.09,0.059
236,0,0.179,0.13
237,0,0.295,0.231
238,0,0.352,0.283
239,0,0.447,0.372
240,0,0.54,0.464
241,0,0.563,0.487
242,0,0.566,0.49
243,0,0.561,0.485
244,0,0.58,0.505
245,0,0.504,0.427
246,0,0.464,0.388
247,0.04,0.421,0.348
248,0.3,0.279,0.216
249,0.534,0.358,0.288
250,0.706,0.591,0.516
251,0.808,0.644,0.571
252,0.854,0.661,0.589
253,0.847,0.68,0.609
254,0.789,0.701,0.632
255,0.667,0.719,0.652
256,0.482,0.687,0.617
257,0.241,0.651,0.578
258,0.026,0.701,0.631
259,0,0.743,0.678
260,0,0.711,0.643
261,0,0.698,0.628
262,0,0.732,0.666
263,0,0.757,0.694
264,0,0.761,0.698
265,0,0.687,0.616
266,0,0.661,0.588
267,0,0.666,0.594
268,0,0.674,0.602
269,0,0.66,0.588
270,0,0.622,0.548
271,0.038,0.557,0.481
272,0.246,0.494,0.418
273,0.469,0.587,0.512
274,0.667,0.62,0.545
275,0.727,0.613,0.538
276,0.701,0.585,0.509
277,0.631,0.559,0.483
278,0.67,0.564,0.488
279,0.512,0.588,0.513
280,0.374,0.595,0.519
281,0.153,0.541,0.465
282,0.022,0.504,0.428
283,0,0.527,0.451
284,0,0.448,0.373
285,0,0.347,0.278
286,0,0.278,0.215
287,0,0.261,0.2
288,0,0.254,0.194
289,0,0.187,0.136
290,0,0.097,0.064
291,0,0.041,0.024
292,0,0.047,0.028
293,0,0.049,0.029
294,0,0.039,0.022
295,0.05,0.015,0.008
296,0.291,0,0
297,0.529,0,0
298,0.536,0,0
299,0.442,0,0
300,0.477,0.004,0.002
301,0.491,0.024,0.013
302,0.569,0.041,0.024
303,0.488,0.05,0.03
304,0.36,0.083,0.054
305,0.192,0.148,0.104
306,0.019,0.301,0.236
307,0,0.46,0.385
308,0,0.406,0.333
309,0,0.338,0.27
310,0,0.337,0.269
311,0,0.28,0.217
312,0,0.251,0.191
313,0,0.249,0.19
314,0,0.231,0.174
315,0,0.185,0.135
316,0,0.181,0.131
317,0,0.169,0.122
318,0,0.141,0.099
319,0.025,0.105,0.07
320,0.152,0.038,0.022
321,0.343,0.03,0.017
322,0.352,0.074,0.047
323,0.473,0.144,0.101
324,0.564,0.228,0.172
325,0.595,0.294,0.229
326,0.455,0.341,0.272
327,0.251,0.374,0.303
328,0.176,0.371,0.301
329,0.104,0.391,0.319
330,0.014,0.471,0.396
331,0,0.538,0.461
332,0,0.538,0.461
333,0,0.561,0.485
334,0,0.635,0.562
335,0,0.729,0.663
336,0,0.812,0.756
337,0,0.86,0.814
338,0,0.893,0.854
339,0,0.874,0.831
340,0,0.806,0.75
341,0,0.806,0.749
342,0,0.804,0.746
343,0.006,0.783,0.723
344,0.035,0.779,0.719
345,0.137,0.766,0.703
346,0.449,0.886,0.846
347,0.442,0.872,0.828
348,0.462,0.861,0.815
349,0.377,0.817,0.762
350,0.345,0.753,0.689
351,0.307,0.687,0.617
352,0.235,0.619,0.544
353,0.1,0.608,0.533
354,0.005,0.619,0.544
355,0,0.819,0.764
356,0,0.785,0.725
357,0,0.719,0.651
358,0,0.662,0.589
359,0,0.748,0.683
360,0,0.823,0.77
361,0,0.828,0.775
362,0,0.819,0.764
363,0,0.788,0.729
364,0,0.777,0.716
365,0,0.786,0.727
366,0,0.722,0.655
367,0.056,0.618,0.543
368,0.288,0.548,0.472
369,0.505,0.756,0.693
370,0.667,0.855,0.807
371,0.796,0.851,0.803
372,0.849,0.834,0.783
373,0.841,0.842,0.792
374,0.728,0.865,0.819
375,0.456,0.851,0.803
376,0.266,0.772,0.71
377,0.159,0.697,0.627
378,0.025,0.652,0.579
379,0,0.646,0.573
380,0,0.61,0.535
381,0,0.568,0.492
382,0,0.526,0.449
383,0,0.496,0.42
384,0,0.459,0.384
385,0,0.444,0.369
386,0,0.434,0.359
387,0,0.416,0.343
388,0,0.378,0.307
389,0,0.345,0.276
390,0,0.325,0.258
391,0.06,0.244,0.186
392,0.279,0.243,0.185
393,0.461,0.294,0.23
394,0.636,0.258,0.198
395,0.807,0.231,0.174
396,0.882,0.22,0.164
397,0.859,0.221,0.166
398,0.779,0.231,0.174
399,0.674,0.236,0.178
400,0.493,0.245,0.186
401,0.22,0.243,0.184
402,0.03,0.294,0.23
403,0,0.395,0.323
404,0,0.452,0.377
405,0,0.475,0.399
406,0,0.451,0.376
407,0,0.403,0.331
408,0,0.316,0.249
409,0,0.209,0.155
410,0,0.101,0.067
411,0,0.031,0.017
412,0,0.006,0.003
413,0,0.003,0.001
414,0,0.004,0.002
415,0.053,0.009,0.005
416,0.274,0.02,0.011
417,0.507,0.022,0.012
418,0.694,0.013,0.006
419,0.81,0.01,0.005
420,0.775,0.017,0.009
